gfst_name,gfst_classes
lessoneyrhep,"class lessoneyrhep(GeneralSemanticType):

    def __init__(self):
        self.description = ""Boolean representation""
        self.format = ""Numeric (0 or 1)""
        self.examples = [0, 1, 0, 1, 0]
        
    def super_cast(self, val):
        return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
lessoneyrtb,"class lessoneyrtb(GeneralSemanticType):
    def __init__(self):
        self.description = ""Boolean semantic type""
        self.format = ""0 or 1""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val in [0,1]:
                return casted_val
            else:
                raise ValueError
        except ValueError:
            raise ValueError(""Invalid value. Input should be 0 or 1."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False
"
cholesterollevel,"class cholesterollevel(GeneralSemanticType):

    def __init__(self):
        self.description = 'Cholesterol level in the human body'
        self.format = 'Cholesterol level should be a floating point number'
        self.examples: list = [50.0, 100.0, 150.0, 200.0, 250.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            return 'Unable to cast value'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and 0 <= casted_val:
            return True
        else:
            return False"
glucoselevel,"class glucoselevel(GeneralSemanticType):
    def __init__(self):
        self.description = 'Glucose level in the human body'
        self.format = 'Glucose level should be a floating point number'
        self.examples: list = [50.0, 70.0, 90.0, 110.0, 130.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            return ""invalid data""

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and 0 <= casted_val:
            return True
        else:
            return False"
inflammationlevel,"class inflammationlevel(GeneralSemanticType):

    def __init__(self):
        self.description = 'Inflammation level in the human body'
        self.format = 'Inflammation level should be a floating point number'
        self.examples: list = [0.01, 0.1, 0.5, 1.0, 2.0]

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        else:
            return float(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 0 and casted_val <= float('inf'):
            return True
        else:
            return False"
bodymassindex,"class bodymassindex(GeneralSemanticType):

    def __init__(self):
        self.description = 'Body Mass Index category'
        self.format = 'BMI category should be an integer'
        self.examples = [0, 1, 2]

    def super_cast(self, val):
        try:
            return int(val)
        except ValueError:
            raise Exception(f""Cannot cast {val} to integer"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1, 2]:
            return True
        else:
            return False"
menopausestatus,"class menopausestatus(GeneralSemanticType):
    def __init__(self):
        self.description = ""Menopause status""
        self.format = ""Binary integer (0 or 1)""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val not in [0, 1]:
                raise ValueError(""Invalid value for Menopause status. Expected 0 or 1."")
            return casted_val
        except (ValueError, TypeError):
            raise ValueError(""Invalid value for Menopause status. Expected 0 or 1."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
yesnocondition,"class yesnocondition(GeneralSemanticType):
    def __init__(self):
        self.description = ""A binary condition represented by 'Yes' or 'No'""
        self.format = ""Capitalized string""
        self.examples = ['Yes', 'No', 'Yes', 'No', 'Yes']

    def super_cast(self, val):
        if isinstance(val, str) and val.lower() in ['yes', 'no']:
            return val.capitalize()
        else:
            raise Exception(""Invalid input to super_cast"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['Yes', 'No']:
            return True
        else:
            return False"
iief5score,"class iief5score(GeneralSemanticType):

    def __init__(self):
        self.description = 'International Index of Erectile Function (IIEF-5) score'
        self.format = 'IIEF-5 score should be an integer between 5 and 25'
        self.examples = [5, 10, 15, 20, 25]

    def super_cast(self, val):
        try:
            num = int(val)
            if 5 <= num <= 25:
                return num
            else:
                raise ValueError('Invalid IIEF-5 score')
        except ValueError:
            raise Exception(""Invalid input. Value should be an integer between 5 and 25."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        return isinstance(casted_val, int) and 5 <= casted_val <= 25"
edseverity,"class edseverity(GeneralSemanticType):

    def __init__(self):
        self.description = 'Erectile Dysfunction (ED) severity'
        self.format = 'Capitalization should be consistent, with only the first letter of each word capitalized'
        self.examples = ['No Erectile Dysfunction', 'Mild Erectile Dysfunction', 'Mild To Moderate Erectile Dysfunction', 'Moderate Erectile Dysfunction', 'Severe Erectile Dysfunction']

    def super_cast(self, val):
        return str(val).title()

    def validate(self, val):
        casted_val = self.super_cast(val)
        valid_values = ['No Erectile Dysfunction', 'Mild Erectile Dysfunction', 'Mild To Moderate Erectile Dysfunction', 'Moderate Erectile Dysfunction', 'Severe Erectile Dysfunction']
        if casted_val in valid_values:
            return True
        else:
            return False"
edstatus,"class edstatus(GeneralSemanticType):

    def __init__(self):
        self.description = 'Erectile Dysfunction (ED) status'
        self.format = 'string with only the first letter of each word capitalized'
        self.examples = ['No ED', 'Erectile Dysfunction', 'No ED', 'Erectile Dysfunction', 'No ED']

    def super_cast(self, val):
        return str(val).title()

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['No ED', 'Erectile Dysfunction']:
            return True
        else:
            return False"
recordnumber,"class recordnumber(GeneralSemanticType):

    def __init__(self):
        self.description = 'Record number'
        self.format = 'Record Number should be a positive integer'
        self.examples = [1, 2, 3, 4, 5]

    def super_cast(self, val):
        num = int(val)
        if num < 0:
            raise Exception('Invalid record number')
        return num

    def validate(self, val):
        casted_val = self.super_cast(val)
        if not (casted_val >= 1 and casted_val <= 31):
            raise Exception('Invalid record number')
        return True"
measurementtype,"class measurementtype(GeneralSemanticType):
    def __init__(self):
        self.description = 'Type of measurement'
        self.format = ""Measurement type should be a string ('Zeta' or 'Surface Zeta')""
        self.examples = ['Zeta', 'Surface Zeta', 'Zeta', 'Zeta', 'Zeta']

    def super_cast(self, val):
        if val not in ['Zeta', 'Surface Zeta']:
            raise Exception('Invalid measurement type')
        return val

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['Zeta', 'Surface Zeta']:
            return True
        else:
            return False"
datetimeclass,"class datetimeclass(GeneralSemanticType):
    def __init__(self):
        self.description = ""Datetime""
        self.format = ""In the format 'Weekday, Month Day, Year Hour:Minute:Second AM/PM'""
        self.examples = ['Wednesday, February 17, 2016 3:57:50 PM', 'Wednesday, February 17, 2016 4:00:25 PM', 'Wednesday, February 17, 2016 4:02:37 PM', 'Wednesday, February 17, 2016 4:04:31 PM', 'Wednesday, February 17, 2016 4:06:26 PM']

    def super_cast(self, val):
        if isinstance(val, float):
            try:
                datetime_obj = datetime.fromordinal(int(val) + datetime(1900, 1, 1).toordinal() - 2)
                return datetime_obj.strftime('%A, %B %d, %Y %I:%M:%S %p')
            except Exception as e:
                print(f'Error occurred while casting value: {val}, Error: {str(e)}')
                return None
        else:
            try:
                date_time_obj = datetime.strptime(val, '%A, %B %d, %Y %I:%M:%S %p')
                return date_time_obj.strftime('%A, %B %d, %Y %I:%M:%S %p')
            except Exception as e:
                print(f'Error occurred while casting value: {val}, Error: {str(e)}')
                return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is not None:
            return True
        else:
            return False"
temperaturecelsius,"class temperaturecelsius(GeneralSemanticType):
    def __init__(self):
        self.description = 'Temperature in Celsius'
        self.format = 'Temperature should be a floating point number in Celsius'
        self.examples = [25.0, 25.1, 25.0, 24.9, 25.0]

    def super_cast(self, val):
        if isinstance(val, str):
            try:
                val = float(val)
            except ValueError:
                raise Exception('The value cannot be converted to float.')
        elif not isinstance(val, (int, float)):
            raise Exception('The value must be a number.')
        return round(val, 1)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val < 24.9 or casted_val > 25.1:
            raise Exception('Invalid temperature.')
        return True"
potentialmv,"class potentialmv(GeneralSemanticType):

    def __init__(self):
        self.description = 'Potential in millivolts'
        self.format = 'Potential should be a floating point number in millivolts'
        self.examples = [-0.0237, -0.0497, -0.00496, -0.043, 10.3]

    def super_cast(self, val):
        try:
            num = round(float(val), 4)
            return num
        except ValueError:
            raise Exception('Invalid potential')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if -46.4 <= casted_val <= 10.3:
            return True
        else:
            return False"
conductivitymscm,"class conductivitymscm(GeneralSemanticType):

    def __init__(self):
        self.description = 'Conductivity in mS/cm'
        self.format = 'Conductivity should be a floating point number in mS/cm'
        self.examples = [0.137, 0.149, 0.148, 0.143, 0.126]

    def super_cast(self, val):
        try:
            num = float(val)
            return round(num, 3)
        except ValueError:
            raise Exception('Invalid conductivity')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if 0.126 <= casted_val <= 0.149:
            return True
        else:
            return False"
countratekcps,"class countratekcps(GeneralSemanticType):

    def __init__(self):
        self.description = 'Count rate in kcps'
        self.format = 'Count rate should be a floating point number in kcps'
        self.examples = [524879.3, 540480.9, 507199.6, 503655.6, 15864.9]

    def super_cast(self, val):
        num = float(val)
        if num < 15864.9 or num > 540480.9:
            raise Exception('Invalid count rate')
        return round(num, 1)

    def validate(self, val):
        casted_val = self.super_cast(val)
        try:
            return 15864.9 <= casted_val <= 540480.9
        except Exception:
            return False"
sjogrenssyndrome,"class sjogrenssyndrome(GeneralSemanticType):
    
    def __init__(self):
        self.description = ""Classification of Sjögren's Syndrome""
        self.format = ""Values are strings and only the first letter of each word is capitalized""
        self.examples = ['Non-SS', 'Primary SS', 'Secondary SS']

    def super_cast(self, val):
        return str(val).title()

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['Non-SS', 'Primary SS', 'Secondary SS']:
            return True
        else:
            return False"
eyecondition,"class eyecondition(GeneralSemanticType):
    def __init__(self):
        self.description = ""Group of eye conditions""
        self.format = ""Values are strings and in all capital letters""
        self.examples = ['SS', 'GVHD', 'GO', 'CG', 'BAK']

    def super_cast(self, val):
        return str(val).upper()

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
st,"class st(GeneralSemanticType):

    def __init__(self):
        self.description = ""Schirmer's test result""
        self.format = ""A floating point number""
        self.examples = [13.0, 13.0, 25.0, 40.0, 28.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is None:
            return False
        elif casted_val < 0 or math.isnan(casted_val):
            return False
        return True"
cfs,"class cfs(GeneralSemanticType):

    def __init__(self):
        self.description = 'Corneal fluorescein staining score'
        self.format = 'Floating point number'
        self.examples = [0.0, 0.0, 0.0, 0.0, 0.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            raise Exception(f""Invalid value {val}, could not be casted to float."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 0 and not math.isnan(casted_val):
            return True
        else:
            return False"
tfbut,"class tfbut(GeneralSemanticType):
    def __init__(self):
        self.description = 'Tear film breakup time'
        self.format = 'Tear film breakup time should be a floating point number'
        self.examples = [10.0, 5.0, 5.0, 13.0, 10.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            raise Exception(""Invalid value. Expected a floating point number."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and 0 <= casted_val <= float('inf'):
            return True
        else:
            return False"
osdi,"class osdi(GeneralSemanticType):

    def __init__(self):
        self.description = 'Ocular Surface Disease Index'
        self.format = 'Ocular Surface Disease Index should be a floating point number'
        self.examples = [21.0, 8.0, 30.0, 3.0, 25.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            raise ValueError(""Invalid input value. Expected a number."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if not np.isnan(casted_val) and casted_val >= 0:
            return True
        else:
            return False
"
comorbidcount,"
class comorbidcount(GeneralSemanticType):
    def __init__(self):
        self.description = 'Number of comorbidities'
        self.format = 'Number of comorbidities should be a whole number'
        self.examples = [16.0, 16.0, 14.0, 16.0, 9.0]

    def super_cast(self, val):
        try:
            num = int(val)
            if num >= 0:
                return num
            else:
                return 'Invalid'
        except ValueError:
            return 'Invalid'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val == 'Invalid':
            return False
        else:
            return True"
ckd,"class ckd(GeneralSemanticType):

    def __init__(self):
        self.description = ""Chronic Kidney Disease status""
        self.format = ""binary integer""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        num = int(val)
        if num in [0, 1]:
            return num
        else:
            raise Exception('Invalid CKD value')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
mortality,"class mortality(GeneralSemanticType):
    def __init__(self):
        self.description = ""Mortality status""
        self.format = ""Boolean (0 for alive, 1 for dead)""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val in [0, 1]:
                return casted_val
            else:
                raise Exception('Invalid mortality value')
        except Exception as e:
            print(f'Error: {e}')
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
critcare,"
class critcare(GeneralSemanticType):
    def __init__(self):
        self.description = ""Critical care requirement status""
        self.format = ""0 or 1""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        if isinstance(val, str):
            if val.isdigit():
                return int(val)
            else:
                raise ValueError(""Invalid input for critical care status."")
        elif isinstance(val, int):
            if val in [0, 1]:
                return val
            else:
                raise ValueError(""Invalid input for critical care status."")
        else:
            raise TypeError(""Invalid type for critical care status. Expected str or int."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
akiscore,"
class akiscore(GeneralSemanticType):

    def __init__(self):
        self.description = 'Highest Acute Kidney Injury (AKI) score'
        self.format = 'AKI score should be a whole number between 0 and 3'
        self.examples = [0.0, 0.0, 0.0, 1.0, 0.0]

    def super_cast(self, val):
        num = int(val)
        if 0 <= num <= 3:
            return num
        else:
            return 'Invalid'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and 0 <= casted_val <= 3:
            return True
        else:
            return False"
advertisementtype,"class advertisementtype(GeneralSemanticType):
    def __init__(self):
        self.description = ""Type of advertisement in use""
        self.format = ""Advertisement type should be a string""
        self.examples = ['TAKE-UP OF:', 'HOTLINE', 'CONSULTATION', 'PROCEDURE']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
postcardgroup,"class postcardgroup(GeneralSemanticType):
    def __init__(self):
        self.description = 'Grouping category for postcards'
        self.format = 'Postcard group should be a string'
        self.examples = ['Money v control', 'CONTROL', '3.7576697690451564', '1.1787389963805353', '5.2999656002751978']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
groupdata,"class groupdata(GeneralSemanticType):
    def __init__(self):
        self.description = 'Data associated with a particular group'
        self.format = 'Group data should be a string'
        self.examples = ['Information v control', '1.2246938546230759', '0.69070342877341828', '1.6734006734006737', 'COMPENSATION ONLY']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
challengetype,"class challengetype(GeneralSemanticType):
    
    def __init__(self):
        self.description = 'Type of challenge in use'
        self.format = 'Challenge type should be a string'
        self.examples = ['Challenge v control', 'INFORMATION ONLY', '0.01', '0.60313960666725464', '2.0183299389002034']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
compensation,"class compensation(GeneralSemanticType):

    def __init__(self):
        self.description = 'Compensation details'
        self.format = 'Compensation should be a string'
        self.examples = ['COMPENSATION AND INFORMATION', '24', '27', '24', '2.4590163934426229E-2']

    def super_cast(self, val):
        # Since all values need to be cast to strings, we can use the built-in str() function
        return str(val)

    def validate(self, val):
        # The only validation necessary is to check if the value is a string or not
        casted_val = self.super_cast(val)
        return isinstance(casted_val, str)"
challenge,"class challenge(GeneralSemanticType):
    def __init__(self):
        self.description = ""Challenge details""
        self.format = ""A string""
        self.examples = ['CHALLENGE ONLY', 'All Info', '-4.9999999999999996E-6', '18', '16']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
compensationchallenge,"class compensationchallenge(GeneralSemanticType):

    def __init__(self):
        self.description = 'Compensation and challenge details'
        self.format = 'Compensation and challenge should be a string'
        self.examples = ['COMPENSATION AND CHALLENGE', 'All Challenge', '-7.4999999999999997E-3', '25', '23']

    def super_cast(self, val):
        return str(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, str):
            return True
        else:
            return False"
area,"class area(GeneralSemanticType):

    def __init__(self):
        self.description = ""Area of a place""
        self.format = ""In square kilometers as float""
        self.examples = [886.47, 1259.89, 323.3, 908.32, 437.55]

    def super_cast(self, val):
        if isinstance(val, str) and val.replace('.', '', 1).isdigit():
            float_val = float(val)
            # Convert hectares to square kilometers
            if float_val > 10000:
                return round(float_val / 10000, 2)
            # Convert square cm to square kilometers
            elif float_val < 1:
                return round(float_val / 1e10, 2)
            else:
                return round(float_val, 2)
        else:
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is not None and 0 <= casted_val <= float('inf'):
            return True
        else:
            return False"
roadlength,"class roadlength(GeneralSemanticType):
    def __init__(self):
        self.description = 'Length of the roads in a location'
        self.format = 'Road length should be formatted as a floating point number in kilometers'
        self.examples = [244.0, 248.0, 138.0, 334.0, 178.0]

    def super_cast(self, val):
        try:
            return round(float(val), 2)
        except ValueError:
            raise Exception(""Unable to cast the value to a float"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and casted_val >= 0:
            return True
        else:
            return False"
coastlinelength,"class coastlinelength(GeneralSemanticType):

    def __init__(self):
        self.description = 'Length of the coastline of a location'
        self.format = 'Coastline length should be formatted as a floating point number in kilometers'
        self.examples = [17.447, 23.225, float('nan'), 0.0, float('inf')]

    def super_cast(self, val):
        if val is None or pd.isna(val):
            return float('nan')
        return round(float(val), 2)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 0 and not pd.isna(casted_val):
            return True
        else:
            return False"
tsunamiheight,"class tsunamiheight(GeneralSemanticType):

    def __init__(self):
        self.description = 'Average height of Tsunami in a location'
        self.format = 'Tsunami height should be formatted as a floating point number in meters'
        self.examples = [0.0, 16.90, 13.14]

    def super_cast(self, val):
        if isinstance(val, str) and self._is_number(val):
            return round(float(val), 2)
        elif isinstance(val, (int, float)):
            return round(val, 2)
        else:
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is None:
            return False
        if 0 <= casted_val <= float('inf'):
            return True
        else:
            return False

    def _is_number(self, s):
        try:
            float(s)
            return True
        except ValueError:
            return False"
binary,"
class binary(GeneralSemanticType):
    def __init__(self):
        self.description = ""Binary variable""
        self.format = ""Binary variable represented as 0 or 1""
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        else:
            return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in [0, 1]:
            return True
        else:
            return False"
populationdensity,"class populationdensity(GeneralSemanticType):

    def __init__(self):
        self.description = 'Density of population in a location'
        self.format = 'Population density should be formatted as a floating point number in persons per square kilometer'
        self.examples = [336.55737, 47.170784, 126.003716]

    def super_cast(self, val):
        try:
            return round(float(val), 2)
        except ValueError:
            raise Exception(""Invalid value for population density"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if not np.isnan(casted_val) and casted_val >= 0:
            return True
        else:
            return False"
crimeprop,"class crimeprop(GeneralSemanticType):

    def __init__(self):
        self.description = 'Proportion of crime in a location'
        self.format = 'Proportion of crime should be formatted as a floating point number with 4 decimal places'
        self.examples = [0.0099, 0.0038, 0.0056]

    def super_cast(self, val):
        try:
            return round(float(val), 4)
        except ValueError:
            raise Exception(""Input value cannot be converted to a floating point number"")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if 0 <= casted_val <= float('inf'):
            return True
        else:
            return False"
deathprop,"class deathprop(GeneralSemanticType):
    def __init__(self):
        self.description = 'Proportion of deaths in a location'
        self.format = 'Proportion of deaths should be formatted as a floating point number with four decimal places'
        self.examples = [0.0085, 0.0136, 0.0125, 0.0097, 0.0108]

    def super_cast(self, val):
        return round(float(val), 4)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if 0 <= casted_val <= float('inf'):
            return True
        else:
            return False"
employmentprop,"class employmentprop(GeneralSemanticType):

    def __init__(self):
        self.description = 'Proportion of employment in a location'
        self.format = 'Proportion of employment should be formatted as a floating point number'
        self.examples = [0.00012401625, 0.010297829, 0.0073888605]

    def super_cast(self, val):
        try:
            return round(float(val), 4)
        except Exception as e:
            return np.nan

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is not np.nan and 0 <= casted_val <= float('inf'):
            return True
        else:
            return False"
householdprop,"class householdprop(GeneralSemanticType):
    def __init__(self):
        self.description = 'Proportion of single households in a location'
        self.format = 'Proportion of single households should be formatted as a floating point number'
        self.examples = [0.3763087, 0.26632577, 0.26965252]

    def super_cast(self, val):
        try:
            casted_val = round(float(val), 2)
            return casted_val
        except Exception as e:
            raise Exception(""Unable to cast value: "", e)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 0 and casted_val <= float('inf'):
            return True
        else:
            return False"
bloodglucoselevel,"class bloodglucoselevel(GeneralSemanticType):

    def __init__(self):
        self.description: str = 'Blood glucose level'
        self.format: str = 'Blood glucose level should be a floating point number with up to 16 decimal places'
        self.examples: list = [0, 5, 15]

    def super_cast(self, val):
        try:
            return '{:.16f}'.format(float(val))
        except ValueError:
            return float('nan')

    def validate(self, val):
        casted_val = self.super_cast(val)
        try:
            float_val = float(casted_val)
            if 0 <= float_val <= float('inf'):
                return True
            else:
                return False
        except ValueError:
            return False"
diettype,"class diettype(GeneralSemanticType):

    def __init__(self):
        self.description = 'Type of diet'
        self.format = ""Diet type should be 'HFD' or a floating point number with up to 16 decimal places""
        self.examples = ['HFD', '6.2715000000000005', '14.874000000000001', '24.142500000000002', '25.252500000000001']

    def super_cast(self, val):
        if val == 'HFD':
            return 'HFD'
        else:
            try:
                return '{:.16f}'.format(float(val))
            except ValueError:
                return float('nan')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val == 'HFD' or isinstance(casted_val, float):
            return True
        else:
            return False"
surveynumericalresponse,"class surveynumericalresponse(GeneralSemanticType):

    def __init__(self):
        self.description = 'Survey numerical response'
        self.format = 'Survey numerical responses are stored as integers'
        self.examples = [1, 2, 3, 4, 5, 6]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val in range(1, 7):
                return casted_val
            else:
                raise ValueError('Invalid value.')
        except ValueError:
            raise ValueError('Invalid value.')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in range(1, 7):
            return True
        else:
            return False"
contactidentifier,"class contactidentifier(GeneralSemanticType):
    def __init__(self):
        self.description = 'Contact ID'
        self.format = 'Contact ID must be a string of 5 digits followed by a hyphen, 4 digits, a hyphen and then 1 digit'
        self.examples = ['001027-0001-1', '001027-0012-2', '001027-0005-3', '001027-0006-9', '001027-0007-6']

    def super_cast(self, val):
        string = str(val)
        match_obj = re.match('^\\d{5}-\\d{4}-\\d$', string)
        if match_obj:
            return match_obj.group()
        else:
            raise Exception('Invalid contact ID')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if re.match('^\\d{5}-\\d{4}-\\d$', casted_val):
            return True
        else:
            return False"
indexidentifier,"class indexidentifier(GeneralSemanticType):

    def __init__(self):
        self.description = 'Index ID'
        self.format = 'Index ID must be a string of 5 digits followed by a hyphen, 4 digits, a hyphen and then 1 digit'
        self.examples = ['001026-0001-6', '001026-0002-8', '001026-0003-6', '001026-0004-7', '001026-0005-8']

    def super_cast(self, val):
        string = str(val)
        match_obj = re.match('^\\d{5}-\\d{4}-\\d$', string)
        if match_obj:
            return match_obj.group()
        else:
            raise Exception('Invalid index ID')

    def validate(self, val):
        casted_val = self.super_cast(val)
        match_obj = re.match('^\\d{5}-\\d{4}-\\d$', casted_val)
        if match_obj:
            return True
        else:
            return False"
healthunits,"class healthunits(GeneralSemanticType):
    def __init__(self):
        self.description = 'Health Units'
        self.format = 'Health Units should be formatted as an integer'
        self.examples = [1, 2, 3, 4, 5]

    def super_cast(self, val):
        if isinstance(val, str) and val.isdigit():
            return int(val)
        else:
            return 'Invalid Input'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and 1 <= casted_val <= 14:
            return True
        else:
            return False"
tbtype,"class tbtype(GeneralSemanticType):
    def __init__(self):
        self.description = 'TB Type'
        self.format = ""TB Type must be a string that is one of the 3 pre-defined categories""
        self.examples = ['Pulmonar', 'MDR', 'Extrapulmonar']

    def super_cast(self, val):
        types = ['Pulmonar', 'MDR', 'Extrapulmonar']
        if val in types:
            return val
        else:
            raise Exception('Invalid TB Type')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in self.examples:
            return True
        else:
            return False"
procedurecompletion,"class procedurecompletion(GeneralSemanticType):

    def __init__(self):
        self.description = 'Completion of a procedure'
        self.format = 'Procedure completion should be formatted as an integer (0 or 1)'
        self.examples = [0, 1, 0, 1, 0]

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        elif val == 0 or val == 1:
            return int(val)
        else:
            return 'Invalid procedure completion value'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and (casted_val == 0 or casted_val == 1):
            return True
        elif math.isnan(casted_val):
            return True
        else:
            return False"
telomere,"
class telomere(GeneralSemanticType):

    def __init__(self):
        self.description = 'Telomere length'
        self.format = 'Telomere length should be a floating point number rounded to 6 decimal places'
        self.examples = [1.148992, 1.480093, 1.488749, 1.356673, 0.972653]

    def super_cast(self, val):
        try:
            return round(float(val), 6)
        except ValueError:
            return 'Invalid Value'

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and 0 <= casted_val < float('inf'):
            return True
        else:
            return False"
snappe2,"class snappe2(GeneralSemanticType):
    def __init__(self):
        self.description: str = 'SNAPPE-II Score' 
        self.format: str = 'SNAPPE-II Score should be a floating point number rounded to one decimal place' 
        self.examples: list = [25.0, 41.0, 68.0, 44.0, 9.0]

    def super_cast(self, val):
        return round(float(val), 1)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and 0 <= casted_val <= 100:
            return True
        else:
            return False"
birthweight,"class birthweight(GeneralSemanticType):

    def __init__(self):
        self.description = 'Weight at birth'
        self.format = 'Birth weight should be an integer in grams'
        self.examples = [670, 700, 600, 750, 495]

    def super_cast(self, val):
        try:
            casted_val = int(val)
            if casted_val < 0:
                raise ValueError(""Invalid value. Birth weight cannot be negative."")
            return casted_val
        except ValueError as e:
            raise ValueError(""Could not cast value to integer. "" + str(e))

    def validate(self, val):
        casted_val = self.super_cast(val)
        try:
            if 0 <= casted_val <= float('inf'):
                return True
            else:
                raise ValueError(""Invalid value. Birth weight should be in the range [0, inf]."")
        except ValueError as e:
            raise ValueError(""Invalid value. "" + str(e))"
